id;idn_var_organograma;idn_var_empresa;n_var_nome;n_var_descricao;idn_var_pai_organograma;idnvar_usuario;idn_var_roof_top
1;5a83583f-48f3-475b-85a3-33d50849a2d2;transmit;networks Granite;Supervisor circuit neural;redefine;Steel override;moratorium Ferry
2;5a83583f-48f3-475b-85a3-33d50849a2d2;Ngultrum;transparent generate Data;Plastic;transmit Account;Keyboard;moratorium Ferry
3;5a83583f-48f3-475b-85a3-33d50849a2d2;Pennsylvania;microchip Pants;needs-based;Rustic;Accounts;1080p Handcrafted
4;5a83583f-48f3-475b-85a3-33d50849a2d2;quantifying;Villages;Direct;Customer multi-byte Fantastic;Tasty;moratorium Ferry
5;5a83583f-48f3-475b-85a3-33d50849a2d2;Marketing Cambridgeshire withdrawal;Public-key attitude;Philippine Chair;haptic;Buckinghamshire Ethiopia;dot-com Electronics Web
6;5a83583f-48f3-475b-85a3-33d50849a2d2;Account Frozen strategize;SMTP;Fall Concrete invoice;Steel Intelligent Concrete;Rubber;card
7;5a83583f-48f3-475b-85a3-33d50849a2d2;Carolina compressing;bottom-line;Graphic;Passage transmitting protocol;front-end Internal;Forward needs-based
8;5a83583f-48f3-475b-85a3-33d50849a2d2;Gloves Sweden Avon;Sleek;matrices Avon;Books innovative;action-items Internal;Account payment Borders
9;5a83583f-48f3-475b-85a3-33d50849a2d2;compressing;Shoals Rubber Switchable;Balanced Ergonomic;pixel Integration Small;Research;Islands withdrawal static
10;5a83583f-48f3-475b-85a3-33d50849a2d2;Group orange;Persevering;Mill black payment;Steel communities Account;Configuration;help-desk Florida
