id;idn_var_processo;id_var_macro_processo;n_var_nome_processo;n_var_objetivo_processo;n_var_limitrofe_inicial;n_var_limitrofe_final;n_var_path_file;n_var_entradas;n_var_saidas;dt_inicio;dt_fim;idn_var_empresa;idnvar_usuario
1;task-force transmitter Shoes;Serbia;transform Triple-buffered redundant;seamless;Account;programming Direct;Gorgeous plug-and-play Burundi;Frozen Omani Loan;grey GB;2022-07-07T17:55:33;2022-07-07T17:17:04;Team-oriented;SSL bypassing
2;Agent payment;Centralized Account;Towels Malta reintermediate;Intelligent;Futuna;deposit;synthesize SMTP;Hills;payment Awesome;2022-07-08T09:34:22;2022-07-07T21:37:18;Dollar Metal EXE;dot-com Avon compressing
3;Loan;Re-contextualized Chief Isle;white;Small exploit Rubber;Applications deliver;hardware driver system;Jersey mindshare Handcrafted;generating function engage;Sleek sensor Ireland;2022-07-08T06:08:32;2022-07-08T01:59:27;Marketing Cambridgeshire engage;monetize Response
4;Pants Unbranded Angola;drive hacking e-services;Turnpike PCI;Green Cotton Fantastic;Grocery Bike;interfaces Kids;Ball Card teal;Buckinghamshire responsive Principal;functionalities;2022-07-08T10:07:09;2022-07-08T01:37:32;Honduras;utilisation calculating conglomeration
5;Salad turn-key;Bike;Director;indexing Metal;Riel withdrawal Front-line;calculating;Ergonomic;Clothing;Secured Minnesota architect;2022-07-08T04:51:39;2022-07-07T23:35:53;Buckinghamshire Account Lead;Dollar
6;Factors mobile;Fresh Point methodologies;Ridges;Steel;Supervisor one-to-one;networks;knowledge;Gorgeous;Pike protocol;2022-07-08T09:44:49;2022-07-07T18:59:06;copy Designer;Soft SMS Handcrafted
7;Shilling;Account Rubber challenge;empower;Philippine vertical applications;Multi-layered Polynesia;Engineer;salmon success;Granite;Fantastic payment Danish;2022-07-08T07:04:41;2022-07-08T00:03:53;Granite optical;Sleek Bike frame
8;Ball;Salad;Berkshire Verde Expanded;fresh-thinking Facilitator;customized olive;streamline system;Jewelery deposit Chips;orange Up-sized payment;Personal Idaho PNG;2022-07-08T04:02:51;2022-07-08T07:01:35;Operative Avon Communications;generation
9;Papua Corporate;Iowa Avon;24/7 Integration open;Stravenue;Tools Chair paradigms;Customer e-business;Tools;Pound Garden solution;Riel Rubber;2022-07-07T15:20:14;2022-07-07T12:47:58;Account Yemeni navigate;Buckinghamshire
10;Chief;generate;Automated Product Metal;portal Implementation systematic;Frozen;Group installation;HDD Rubber;Reactive;Personal enable Aruban;2022-07-07T23:36:34;2022-07-07T14:39:07;calculating Savings Metal;Sports SCSI
